Entry name	Protein name	Organism	TCDB	Scores
YDJH_BACSU	UPF0603 protein YdjH	Bacillus subtilis (strain 168)	-	0.79
TCYC_BACSU	L-cystine import ATP-binding protein TcyC (EC 7.4.2.-)	Bacillus subtilis (strain 168)	3.A.1.3.14	0.48
YTCI_BACSU	Uncharacterized acyl--CoA ligase YtcI (EC 6.2.1.-)	Bacillus subtilis (strain 168)	-	0.724
ACKA_BACSU	Acetate kinase (EC 2.7.2.1) (Acetokinase)	Bacillus subtilis (strain 168)	-	0.712
ACSA_BACSU	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	Bacillus subtilis (strain 168)	-	0.535
YCZE_BACSU	Uncharacterized membrane protein YczE	Bacillus subtilis (strain 168)	-	0.902
YWKB_BACSU	Uncharacterized transporter YwkB	Bacillus subtilis (strain 168)	-	0.79
TCYA_BACSU	L-cystine-binding protein TcyA	Bacillus subtilis (strain 168)	3.A.1.3.14	0.48
GLXK_BACSU	Glycerate kinase (EC 2.7.1.31)	Bacillus subtilis (strain 168)	-	0.724
GUTR_BACSU	Transcription activator GutR	Bacillus subtilis (strain 168)	-	0.79
YFKL_BACSU	Uncharacterized MFS-type transporter YfkL	Bacillus subtilis (strain 168)	-	0.634
TCYB_BACSU	L-cystine transport system permease protein TcyB	Bacillus subtilis (strain 168)	3.A.1.3.14	0.475
MUTS_BACSU	DNA mismatch repair protein MutS	Bacillus subtilis (strain 168)	-	0.996
TCRB_BACSU	Tetracycline resistance protein	Bacillus subtilis (strain 168)	2.A.1.3.16	0.79
GUAA_BACSU	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	Bacillus subtilis (strain 168)	-	0.697
